url,prediction,score,url_length,domain_length,tld,has_ip,num_special_chars,has_https,has_www,pct_ext_hyperlinks,pct_ext_resource_urls,ext_favicon,num_dots,subdomain_level,path_level,num_dash,num_dash_in_hostname,at_symbol,tilde_symbol,num_underscore,num_percent,num_query_components,num_ampersand,num_hash,num_numeric_chars,no_https,random_string,ip_address,domain_in_subdomains,domain_in_paths,https_in_hostname,hostname_length,path_length,query_length,double_slash_in_path,num_sensitive_words,embedded_brand_name,insecure_forms,relative_form_action,ext_form_action,abnormal_form_action
https://www.facebook.com/?locale=zh_TW,malicious,0.010005468502640724,38,16,com,0,3,1,1,0.9795918367346939,0.015789473684210527,1.0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,16,1,12,0,0,1,0,1,1,0
https://www.facebook.com/,malicious,0.010217840317636728,25,16,com,0,0,1,1,0.9795918367346939,0.015789473684210527,1.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,1,0,0,0,1,0,1,1,0
https://tw.yahoo.com/,malicious,0.7013685256242752,21,12,com,0,0,1,0,0.9921875,0.07383773928896992,1.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0
https://tw.news.yahoo.com/,malicious,0.5874312669038773,26,17,com,0,0,1,0,0.9965870307167235,0.04445664105378705,1.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1,0,0,0,0,0,0,0,0
https://www.southbankmosaics.com,malicious,0.0381646235473454,32,24,com,0,0,1,1,0.9724770642201835,0.10600706713780919,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,24,0,0,0,0,0,0,0,0,0
https://www.uni-mainz.de,malicious,0.055556539446115494,24,16,de,0,1,1,1,0.6666666666666666,0.36075949367088606,0.0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
https://www.aap.org,malicious,0.0022253216593526304,19,11,org,0,0,1,1,0.996031746031746,0.018884892086330936,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0
https://www.faceb00k.com/?locale=zh_TW,malicious,0.05670652724802494,38,16,com,0,3,1,1,0.0,0.0,0.0,2,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,16,1,12,0,0,0,0,0,0,0
https://www.facebook.c0m/,malicious,0.09069759398698807,25,16,c0m,0,0,1,1,0.0,0.0,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0
https://www.religionenlibertad.com,malicious,0.016227082815021276,34,26,com,0,0,1,1,0.9966666666666667,0.08063241106719368,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26,0,0,0,0,0,0,1,1,0
http://www.ooguy.com,benign,8.043180704116821,20,13,com,0,0,0,1,0.8333333333333334,0.1694915254237288,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0
http://www.teramill.com,benign,8.837252855300903,23,16,com,0,0,0,1,0.95,0.011834319526627219,1.0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,16,0,0,0,0,0,0,0,1,0
http://www.kuradox92.lima-city.de,benign,9.737125635147095,33,26,de,0,1,0,1,0.0,0.0,0.0,3,2,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
